course_code,page_id,text,href,download_attr
MTH-252,00126-mth-252-module-item-lecture-2-3-2-4-pdf-integral-calculus-mth-252z-400-u2026,Download Lecture-2.3-2.4.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223466/download?download_frd=1,true
MTH-252,00137-mth-252-module-item-252-lecture-2-5-to-me5-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-2.5-to-ME5.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223598/download?download_frd=1,true
MTH-252,00138-mth-252-module-item-dr-g-s-videos-2-5-integral-calculus-mth-252z-400-u2026,"Download 252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-1.pdf",https://canvas.oregonstate.edu/courses/2080857/files/119223617/download?download_frd=1,
MTH-252,00147-mth-252-module-item-252-lecture-2-5-to-me5-pdf-integral-calculus-mth-252z-400-u2026,Download 252-Lecture-2.5-to-ME5.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223598/download?download_frd=1,true
MTH-252,00148-mth-252-module-item-dr-g-s-videos-3-7-integral-calculus-mth-252z-400-u2026,Download,https://canvas.oregonstate.edu/courses/2080857/files/119223618/download?download_frd=1,
MTH-252,00155-mth-252-module-item-mini-exam-2-retake,Download ME2-Retake-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223455/download?download_frd=1,
MTH-252,00155-mth-252-module-item-mini-exam-2-retake,Download IVP-Wksht1.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187575/download?download_frd=1,
MTH-252,00155-mth-252-module-item-mini-exam-2-retake,Download IVP-Wksht2.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187581/download?download_frd=1,
MTH-252,00156-mth-252-module-item-mini-exam-3-retake,Download ME3-Retake-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223623/download?download_frd=1,
MTH-252,00157-mth-252-module-item-mini-exam-4-retake,Download ME4-Retake-Template.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223452/download?download_frd=1,
MTH-253,00170-mth-253-module-item-start-here-syllabus-sequences-and-series-mth-253z-400-u2026,Download,https://canvas.oregonstate.edu/courses/2053263/files/119228487/download?download_frd=1,
MTH-253,00170-mth-253-module-item-start-here-syllabus-sequences-and-series-mth-253z-400-u2026,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558899/download?download_frd=1,
MTH-253,00178-mth-253-module-item-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400-u2026,Download Practice-Quiz.pdf,https://canvas.oregonstate.edu/users/6660414/files/119294133/download?verifier=gGJq5JBGLXpWU66mkaU77iU27kEJcXVFbCpDi73N&download_frd=1,
MTH-253,00181-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Evaluating Limits,https://canvas.oregonstate.edu/courses/2053263/files/118558936/download?download_frd=1,
MTH-253,00181-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Infinite Limits,https://canvas.oregonstate.edu/courses/2053263/files/118558848/download?download_frd=1,
MTH-253,00181-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Download L'Hospital's Rule,https://canvas.oregonstate.edu/courses/2053263/files/118558879/download?download_frd=1,
MTH-253,00181-mth-253-module-item-unit-1-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Improper Integrals,https://canvas.oregonstate.edu/courses/2053263/files/118558963/download?download_frd=1,
MTH-253,00184-mth-253-module-item-unit-1-written-homework-assignment,Download Unit #1 Written Homework.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558797/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Introduction to Sequences,https://canvas.oregonstate.edu/courses/2053263/files/118558743/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Recursive Sequences,https://canvas.oregonstate.edu/courses/2053263/files/118558950/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Convergence or Divergence of a Sequence,https://canvas.oregonstate.edu/courses/2053263/files/118558844/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Geometric Sequences,https://canvas.oregonstate.edu/courses/2053263/files/118558915/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Introduction to Series,https://canvas.oregonstate.edu/courses/2053263/files/118558827/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Partial Sums,https://canvas.oregonstate.edu/courses/2053263/files/118558808/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Geometric Series,https://canvas.oregonstate.edu/courses/2053263/files/118558770/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Repeating Decimals and Geometric Series,https://canvas.oregonstate.edu/courses/2053263/files/118558809/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Telescoping Series,https://canvas.oregonstate.edu/courses/2053263/files/118558919/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Introduction to Sequences,https://canvas.oregonstate.edu/courses/2053263/files/118558743/download?download_frd=1,
MTH-253,00189-mth-253-module-item-unit-2-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Recursive Sequences,https://canvas.oregonstate.edu/courses/2053263/files/118558950/download?download_frd=1,
MTH-253,00192-mth-253-module-item-unit-2-written-homework-assignment,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558872/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Divergence Test,https://canvas.oregonstate.edu/courses/2053263/files/118558959/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download p-Series and The Integral Test,https://canvas.oregonstate.edu/courses/2053263/files/118558964/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download The Comparison Test,https://canvas.oregonstate.edu/courses/2053263/files/118558968/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download The Limit Comparison Test,https://canvas.oregonstate.edu/courses/2053263/files/118558929/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download The Alternating Series Test,https://canvas.oregonstate.edu/courses/2053263/files/118558911/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download Absolute and Conditional Convergence,https://canvas.oregonstate.edu/courses/2053263/files/118558970/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download The Ratio Test,https://canvas.oregonstate.edu/courses/2053263/files/118558816/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download The Root Test,https://canvas.oregonstate.edu/courses/2053263/files/118558799/download?download_frd=1,
MTH-253,00197-mth-253-module-item-unit-3-learning-materials-sequences-and-series-mth-253z-400-u2026,Download What Test to Use,https://canvas.oregonstate.edu/courses/2053263/files/118558955/download?download_frd=1,
MTH-253,00202-mth-253-module-item-unit-3-written-homework-assignment,Download Unit #3 Written Homework.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558907/download?download_frd=1,
MTH-253,00219-mth-253-module-item-mth-253-final-exam-practice-problems-pdf-sequences-and-series-mth-253z-400-u2026,Download MTH 253 - Final Exam Practice Problems.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558956/download?download_frd=1,true
MTH-253,00220-mth-253-module-item-mth-253-final-exam-practice-problems-answers-pdf-sequences-and-series-mth-253z-400-u2026,Download MTH 253 - Final Exam Practice Problems - Answers.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558944/download?download_frd=1,true
MTH-253,00224-mth-253-linked-detail-mth-253-course-syllabus-summer-2026-pdf-sequences-and-series-mth-253z-400-u2026,Download MTH_253_Course_Syllabus_Summer_2026.pdf,https://canvas.oregonstate.edu/courses/2053263/files/119228487/download?download_frd=1,true
MTH-253,00225-mth-253-linked-detail-unit-1-written-homework-assignment,Download Unit #1 Written Homework.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558797/download?download_frd=1,
MTH-253,00230-mth-253-linked-detail-unit-2-written-homework-assignment,Download Unit #2 Written Homework.pdf,https://canvas.oregonstate.edu/courses/2053263/files/118558872/download?download_frd=1,
MTH-253,00236-mth-253-linked-detail-unit-3-written-homework-assignment,Download,https://canvas.oregonstate.edu/courses/2053263/files/118558907/download?download_frd=1,
MTH-253,00263-mth-253-linked-detail-practice-quiz-take-it-before-attempting-quiz-1-sequences-and-series-mth-253z-400-u2026,Download Practice-Quiz.pdf,https://canvas.oregonstate.edu/users/6660414/files/119294133/download?verifier=gGJq5JBGLXpWU66mkaU77iU27kEJcXVFbCpDi73N&download_frd=1,
