page_id,course_code,source_surface,link_index,text,href,raw_href,target,download,is_canvas_local,belongs_to_course
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,79,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,/courses/2080857/modules/items/26982569,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,80,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,/courses/2080857/modules/items/26982570,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,81,Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982571,/courses/2080857/modules/items/26982571,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,82,0 In Progress 0 Complete,https://canvas.oregonstate.edu/courses/2080857/modules#,#,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,83,Module 4 — Overview,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982572,/courses/2080857/modules/items/26982572,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,84,Module 4 — Learning Materials and Practice Activities 🕓 3 - 5 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982573,/courses/2080857/modules/items/26982573,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,85,"Dr. G's Lecture Notes--> Sects. 1.3, 4.10, 1.4, 1.5, 1.6",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982574,/courses/2080857/modules/items/26982574,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,86,"Dr G's Videos --> Sect 1.3, 1.4",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982575,/courses/2080857/modules/items/26982575,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,87,"Dr G's Videos --> Sect 1.4, 1.5, 1.6",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982576,/courses/2080857/modules/items/26982576,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,88,RQ-1.4,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982577,/courses/2080857/modules/items/26982577,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,89,RQ-1.5,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982578,/courses/2080857/modules/items/26982578,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,90,RQ-1.6,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982579,/courses/2080857/modules/items/26982579,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,91,Module 4 — Written Homework (WHW 4) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982580,/courses/2080857/modules/items/26982580,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,92,Achieve - 1.4 Integration Formulas and the Net Change Theorem,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982581,/courses/2080857/modules/items/26982581,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,93,Achieve - 1.5 Substitution,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982582,/courses/2080857/modules/items/26982582,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,94,Achieve - 1.6 Integrals Involving Exponential and Logarithmic Functions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982583,/courses/2080857/modules/items/26982583,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,95,Module 4 — Discussion Reflection: WHW 4 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982584,/courses/2080857/modules/items/26982584,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,96,0 In Progress 0 Complete,https://canvas.oregonstate.edu/courses/2080857/modules#,#,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,97,Mini-Exam 2 --> No Calculators on this Exam,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982585,/courses/2080857/modules/items/26982585,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,98,0 In Progress 0 Complete,https://canvas.oregonstate.edu/courses/2080857/modules#,#,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,99,Module 5 — Overview,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982586,/courses/2080857/modules/items/26982586,,,yes,yes
00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,MTH-252,modules,100,Module 5 — Learning Materials and Practice Activities 🕓 3 - 5 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982587,/courses/2080857/modules/items/26982587,,,yes,yes
