page_id,course_id,course_code,surface,title,url,redirected,captured_at,heading_count,link_count,hidden_sample_count
MTH-252-home,2080857,MTH-252,home,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857,,2026-06-26T20:22:07.607Z,7,15,4
MTH-252-modules,2080857,MTH-252,modules,Course Modules: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules,,2026-06-26T20:22:14.077Z,46,250,80
MTH-252-assignments,2080857,MTH-252,assignments,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857,yes,2026-06-26T20:22:18.255Z,7,15,4
MTH-252-grades,2080857,MTH-252,grades,Grades for Jacob Peterson: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/grades,,2026-06-26T20:22:22.833Z,1,250,80
MTH-252-announcements,2080857,MTH-252,announcements,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/announcements,,2026-06-26T20:22:26.005Z,42,40,80
MTH-252-syllabus,2080857,MTH-252,syllabus,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus,,2026-06-26T20:22:29.564Z,2,66,65
MTH-252-discussions,2080857,MTH-252,discussions,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/discussion_topics,,2026-06-26T20:22:32.513Z,12,8,33
MTH-252-quizzes,2080857,MTH-252,quizzes,INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857,yes,2026-06-26T20:22:36.266Z,7,15,4
MTH-253-home,2053263,MTH-253,home,SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263,,2026-06-26T20:22:39.713Z,5,14,0
MTH-253-modules,2053263,MTH-253,modules,Course Modules: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/modules,,2026-06-26T20:22:43.132Z,22,72,80
MTH-253-assignments,2053263,MTH-253,assignments,SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263,yes,2026-06-26T20:22:47.076Z,5,14,0
MTH-253-grades,2053263,MTH-253,grades,Grades for Jacob Peterson: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/grades,,2026-06-26T20:22:50.603Z,1,118,80
MTH-253-announcements,2053263,MTH-253,announcements,Announcements: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/announcements,,2026-06-26T20:22:53.444Z,5,3,12
MTH-253-syllabus,2053263,MTH-253,syllabus,Syllabus for SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/assignments/syllabus,,2026-06-26T20:22:56.386Z,2,30,25
MTH-253-discussions,2053263,MTH-253,discussions,Discussions: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/discussion_topics,,2026-06-26T20:22:59.296Z,14,10,40
MTH-253-quizzes,2053263,MTH-253,quizzes,Quizzes: SEQUENCES AND SERIES (MTH_253Z_400_U2026),https://canvas.oregonstate.edu/courses/2053263/quizzes,,2026-06-26T20:23:02.336Z,3,6,22
PHY-212-home,2053526,PHY-212,home,GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526,,2026-06-26T20:23:05.943Z,5,1,0
PHY-212-modules,2053526,PHY-212,modules,Course Modules: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/modules,,2026-06-26T20:23:09.004Z,5,58,80
PHY-212-assignments,2053526,PHY-212,assignments,Assignments: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/assignments,,2026-06-26T20:23:12.682Z,5,21,80
PHY-212-grades,2053526,PHY-212,grades,Grades for Jacob Peterson: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/grades,,2026-06-26T20:23:16.453Z,1,115,75
PHY-212-announcements,2053526,PHY-212,announcements,Announcements: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/announcements,,2026-06-26T20:23:19.469Z,5,3,13
PHY-212-syllabus,2053526,PHY-212,syllabus,Syllabus for GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/assignments/syllabus,,2026-06-26T20:23:22.621Z,2,25,25
PHY-212-discussions,2053526,PHY-212,discussions,Discussions: GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526/discussion_topics,,2026-06-26T20:23:25.807Z,8,4,21
PHY-212-quizzes,2053526,PHY-212,quizzes,GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026),https://canvas.oregonstate.edu/courses/2053526,yes,2026-06-26T20:23:29.373Z,5,1,0
