course_id,code,title,canvas_home,captured_at
2080857,MTH-252,Integral Calculus,https://canvas.oregonstate.edu/courses/2080857,2026-06-26T20:21:58.440Z
2053263,MTH-253,Sequences and Series,https://canvas.oregonstate.edu/courses/2053263,2026-06-26T20:21:58.440Z
2053526,PHY-212,"Oscillations, Waves, Optics, and Rotation",https://canvas.oregonstate.edu/courses/2053526,2026-06-26T20:21:58.440Z
