task_id,course_id,course_code,title,task_type,importance,required,graded,due,available,source_surfaces,module_titles,hrefs,confidence
MTH-253-final-exam,2053263,MTH-253,Final Exam,quiz,required_graded,yes,yes,Sep 1 by 10:30pm,,grades|modules|quizzes,Finals Week,https://canvas.oregonstate.edu/courses/2053263/modules/items/26885601|https://canvas.oregonstate.edu/courses/2053263/assignments/10553169/submissions/6660414|https://canvas.oregonstate.edu/courses/2053263/quizzes/3159588,0.88
MTH-253-no-quizzes-found,2053263,MTH-253,No quizzes found,quiz,unknown,unknown,no,,,quizzes,,,0.45
PHY-212-start-here-overview,2053526,PHY-212,Start Here - Overview,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896930,0.75
PHY-212-instructor-information-communication-policy,2053526,PHY-212,Instructor Information & Communication Policy,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896931,0.75
PHY-212-where-to-go-for-help,2053526,PHY-212,Where to go for help?,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896932,0.75
PHY-212-accessibility-statements-privacy-policies,2053526,PHY-212,Accessibility Statements & Privacy Policies,page,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896933,0.75
PHY-212-sources-cited,2053526,PHY-212,Sources Cited,page,required_ungraded_blocker,yes,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896934,0.75
PHY-212-start-here-conclusion,2053526,PHY-212,Start Here - Conclusion,reference,useful_reference,unknown,no,,,modules,Start Here,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896935,0.75
PHY-212-general-information,2053526,PHY-212,General information,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896936,0.75
PHY-212-zoom-info,2053526,PHY-212,Zoom info,page,useful_reference,unknown,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896938,0.75
PHY-212-announcements,2053526,PHY-212,Announcements,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896939,0.75
PHY-212-ta-info-scheduler,2053526,PHY-212,TA Info & Scheduler,page,useful_reference,unknown,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896940,0.75
PHY-212-course-webpages,2053526,PHY-212,Course webpages,page,required_ungraded_blocker,yes,no,,,modules,Course information,https://canvas.oregonstate.edu/courses/2053526/modules/items/26896941,0.75
