rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
94,2080857,MTH-252,task-00226-mth-252-lecture-video-dr-g-s-videos-1-3-4-10-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> 1.3, 4.10: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982566,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-1-dot-3-4-dot-10,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-3-4-dot-10?module_item_id=26982566|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
95,2080857,MTH-252,task-00227-mth-252-lecture-video-dr-g-s-videos-2-2-integral-calculus-mth-252z-400-u2026,lecture_video,Dr G's Videos --> 2.2 : INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 7: Applications of Integration - Graphical,mi-mth-252-26982612,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-2-dot-2,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-2?module_item_id=26982612|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
96,2080857,MTH-252,task-00228-mth-252-lecture-video-dr-g-s-videos-2-3-2-4-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> 2.3, 2.4: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982623,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-2-dot-3-2-dot-4,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-3-2-dot-4?module_item_id=26982623|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
97,2080857,MTH-252,task-00229-mth-252-lecture-video-dr-g-s-videos-3-1-3-2-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> 3.1, 3.2: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 5: Techniques to Solve Integrals,mi-mth-252-26982589,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-3-dot-1-3-dot-2,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-1-3-dot-2?module_item_id=26982589|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
98,2080857,MTH-252,task-00230-mth-252-lecture-video-dr-g-s-videos-3-3-continued-3-4-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> 3.3 continued, 3.4: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 6: Techniques Continued,mi-mth-252-26982601,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-3-dot-3-continued-3-dot-4,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-3-continued-3-dot-4?module_item_id=26982601|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
99,2080857,MTH-252,task-00231-mth-252-lecture-video-dr-g-s-videos-3-7-integral-calculus-mth-252z-400-u2026,lecture_video,Dr G's Videos --> 3.7: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 10: Applications of Integration - Real World,mi-mth-252-26982645,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-3-dot-7,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-7?module_item_id=26982645|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-7?module_item_id=26982645#|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
100,2080857,MTH-252,task-00232-mth-252-lecture-video-dr-g-s-videos-sect-1-3-1-4-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> Sect 1.3, 1.4: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 4: Introduction to Applications,mi-mth-252-26982575,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-sect-1-dot-3-1-dot-4,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-sect-1-dot-3-1-dot-4?module_item_id=26982575|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
101,2080857,MTH-252,task-00233-mth-252-lecture-video-dr-g-s-videos-sect-1-4-1-5-1-6-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr G's Videos --> Sect 1.4, 1.5, 1.6: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 4: Introduction to Applications,mi-mth-252-26982576,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-sect-1-dot-4-1-dot-5-1-dot-6,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-sect-1-dot-4-1-dot-5-1-dot-6?module_item_id=26982576|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
102,2080857,MTH-252,task-00234-mth-252-lecture-video-dr-gs-videos-2-1-2-2-integral-calculus-mth-252z-400-u2026,lecture_video,"Dr Gs Videos --> 2.1, 2.2: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",,,no_due_found,,,,Module 7: Applications of Integration - Graphical,mi-mth-252-26982611,prep_required,medium,candidate,,obj-mth-252-page-dr-gs-videos-3e-2-dot-1-2-dot-2,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-1-2-dot-2?module_item_id=26982611|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
103,2080857,MTH-252,task-00235-mth-252-lecture-video-dr-g-videos-3-3-integral-calculus-mth-252z-400-u2026,lecture_video,Dr. G Videos --> 3.3: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Module 6: Techniques Continued,mi-mth-252-26982600,prep_required,medium,candidate,,obj-mth-252-page-dr-g-videos-3e-3-dot-3,page,https://canvas.oregonstate.edu/courses/2080857/pages/dr-g-videos-%3E-3-dot-3?module_item_id=26982600|https://canvas.oregonstate.edu/courses/2080857/modules,Complete or review this prep item before the related graded work.
