summary_id,course_id,course_code,source_table,category,status,count,example_titles,example_urls
xsum-0017,2080857,MTH-252,missing_or_suspicious,graded_task_missing_due,missing_due_text,19,Topic: Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour | Topic: Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour | Topic: Module 8 — Discussion Reflection: WHW 8 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593475?module_item_id=26982552|https://canvas.oregonstate.edu/courses/2080857/modules | https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593473?module_item_id=26982571|https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593473|https://canvas.oregonstate.edu/courses/2080857/modules | https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593468?module_item_id=26982627|https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593468|https://canvas.oregonstate.edu/courses/2080857/modules
xsum-0018,2080857,MTH-252,missing_or_suspicious,module_crosscheck,module_item_external_unvisited,63,"Application: Area under curve: Distance Links to an external site. | Area under curve, more rectangles Links to an external site. | Application: Area under the graph, table Links to an external site.",https://youtu.be/DZZd1qo1n2A | https://youtu.be/B8WYjWiw5YM | https://youtu.be/_lNM3EZhByw
xsum-0019,2080857,MTH-252,missing_or_suspicious,review_queue,download_not_read,2,IVP-Wksht1.pdf | IVP-Wksht2.pdf,https://canvas.oregonstate.edu/courses/1918585/files/99187575/download?download_frd=1 | https://canvas.oregonstate.edu/courses/1918585/files/99187581/download?download_frd=1
xsum-0020,2080857,MTH-252,missing_or_suspicious,review_queue,external_surface,63,"Application: Area under curve: Distance Links to an external site. | Application: Area under the graph, table Links to an external site. | Application: Average value of investment Links to an external site.",https://youtu.be/DZZd1qo1n2A | https://youtu.be/_lNM3EZhByw | https://youtu.be/80fxxec6ihM
xsum-0021,2080857,MTH-252,missing_or_suspicious,task_without_module,critical_setup,10,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026) | Achieve Registration Process_v3.pdf | Download,https://canvas.oregonstate.edu/courses/2080857/assignments/syllabus | https://canvas.oregonstate.edu/courses/2080857/files/119223565/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/files/119223565?module_item_id=26982524|https://canvas.oregonstate.edu/courses/2080857/files/119223565?module_item_id=26982524# | https://canvas.oregonstate.edu/courses/2080857/files/119223455/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654|https://canvas.oregonstate.edu/courses/2080857/files/119223455?wrap=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654#
xsum-0022,2080857,MTH-252,missing_or_suspicious,task_without_module,lecture_video,2,"252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-1.pdf | Download",https://canvas.oregonstate.edu/courses/2080857/files/119223617/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-2-dot-5?module_item_id=26982634|https://canvas.oregonstate.edu/courses/2080857/files/119223617?wrap=1 | https://canvas.oregonstate.edu/courses/2080857/files/119223618/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-7?module_item_id=26982645|https://canvas.oregonstate.edu/courses/2080857/files/119223618?wrap=1|https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-3-dot-7?module_item_id=26982645#
xsum-0023,2080857,MTH-252,missing_or_suspicious,task_without_module,prep_reading,1,252-Lecture-1.3-to-ME2.pdf,https://canvas.oregonstate.edu/courses/2080857/files/119223594/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565#|https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982574#
xsum-0024,2053263,MTH-253,crosscheck_grades_tasks,grades,grades_surface_task_in_modules,15,"Unit 1 - Written Homework Assignment | Week 1 Web Homework: Infinity and Limits, Indeterminates, Improper Integrals | Week 2 Web Homework: Sequences",https://canvas.oregonstate.edu/courses/2053263/assignments/10553179/submissions/6660414 | https://canvas.oregonstate.edu/courses/2053263/assignments/10584258/submissions/6660414 | https://canvas.oregonstate.edu/courses/2053263/assignments/10584372/submissions/6660414
xsum-0025,2053263,MTH-253,crosscheck_modules_assignments,assignment,module_item_has_task,15,"Unit 1 - Written Homework Assignment | Week 1 Web Homework: Infinity and Limits, Indeterminates, Improper Integrals | Week 2 Web Homework: Sequences",https://canvas.oregonstate.edu/courses/2053263/assignments/10553179?module_item_id=26885537 | https://canvas.oregonstate.edu/courses/2053263/assignments/10584258?module_item_id=26977416 | https://canvas.oregonstate.edu/courses/2053263/assignments/10584372?module_item_id=26977767
xsum-0026,2053263,MTH-253,crosscheck_modules_assignments,discussion,module_item_has_task,3,Unit 1 Discussion Board - Submitted in Week 1 (Required) | Unit 3 Discussion Board - Submitted in Week 6 (Required) | Unit 4 Discussion Board - Submitted in Week 9 (Required),https://canvas.oregonstate.edu/courses/2053263/discussion_topics/11558498?module_item_id=26885532 | https://canvas.oregonstate.edu/courses/2053263/discussion_topics/11558497?module_item_id=26885558 | https://canvas.oregonstate.edu/courses/2053263/discussion_topics/11558496?module_item_id=26885573
