rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
121,2080857,MTH-252,task-00222-mth-252-critical-setup-gradescope-submissions-students-are-held-accountable-for-verifying-submissions-8,critical_setup,Gradescope Submissions - Students are held accountable for verifying submissions 8,,,no_due_found,,,,Start Here,mi-mth-252-26982527,action_required,high,candidate,,obj-mth-252-module-subheader-26982527,module_subheader,https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
122,2080857,MTH-252,task-00240-mth-252-critical-setup-how-to-videos-integral-calculus-mth-252z-400-u2026,critical_setup,How-To Videos: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,Tutoring Support and Course Resources,mi-mth-252-26982537,action_required,high,candidate,,obj-mth-252-page-how-to-videos,page,https://canvas.oregonstate.edu/courses/2080857/pages/how-to-videos?module_item_id=26982537|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
166,2080857,MTH-252,task-00061-mth-252-critical-setup-ivp-wksht1-pdf,critical_setup,IVP-Wksht1.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_download|needs_manual_decision,obj-mth-252-download-99187575,download,https://canvas.oregonstate.edu/courses/1918585/files/99187575/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654|https://canvas.oregonstate.edu/courses/2080857/assignments/10586048?module_item_id=26982585#|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654#,Plan/complete this task according to its module and due information.
169,2080857,MTH-252,task-00062-mth-252-critical-setup-me2-retake-template-pdf,critical_setup,ME2-Retake-Template.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-download-119223455,download,https://canvas.oregonstate.edu/courses/2080857/files/119223455/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654|https://canvas.oregonstate.edu/courses/2080857/files/119223455?wrap=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586047?module_item_id=26982654#,Plan/complete this task according to its module and due information.
170,2080857,MTH-252,task-00063-mth-252-critical-setup-me3-retake-template-pdf,critical_setup,ME3-Retake-Template.pdf,,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-download-119223623,download,https://canvas.oregonstate.edu/courses/2080857/files/119223623/download?download_frd=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586049?module_item_id=26982655|https://canvas.oregonstate.edu/courses/2080857/files/119223623?wrap=1|https://canvas.oregonstate.edu/courses/2080857/assignments/10586049?module_item_id=26982655#,Plan/complete this task according to its module and due information.
185,2080857,MTH-252,task-00177-mth-252-critical-setup-mth-252z-400-syllabus-u26-gilliam-1-pdf-integral-calculus-mth-252z-400-u2026,critical_setup,MTH 252Z-400 Syllabus U26 Gilliam-1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-file-119353385,file,https://canvas.oregonstate.edu/courses/2080857/files/119353385?wrap=1,Plan/complete this task according to its module and due information.
186,2080857,MTH-252,task-00178-mth-252-critical-setup-mth-252z-401-syllabus-u26-gilliam-1-pdf-integral-calculus-mth-252z-400-u2026,critical_setup,MTH 252Z-401 Syllabus U26 Gilliam-1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-file-119353386,file,https://canvas.oregonstate.edu/courses/2080857/files/119353386?wrap=1,Plan/complete this task according to its module and due information.
187,2080857,MTH-252,task-00179-mth-252-critical-setup-mth-252-online-course-calendar-pdf-integral-calculus-mth-252z-400-u2026,critical_setup,MTH-252-Online-Course-Calendar.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,,,,,action_required,high,candidate,needs_manual_decision,obj-mth-252-file-119246095,file,https://canvas.oregonstate.edu/courses/2080857/files/119246095?wrap=1,Plan/complete this task according to its module and due information.
193,2080857,MTH-252,task-00255-mth-252-blocked-or-broken-pre-class-reading-quiz-1-1-rq-1-1-integral-calculus-mth-252z-400-u2026,blocked_or_broken,Pre-Class Reading Quiz - 1.1 (RQ-1.1): INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,2,,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982548,action_required,high,candidate,needs_retry,obj-mth-252-quiz-3167659,quiz,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659?module_item_id=26982548|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/history?version=2|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/history?version=1|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659?module_item_id=26982548#|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59173354|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59173359|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59173352|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59173360|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59173361|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659/questions/59174680|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
195,2080857,MTH-252,task-00257-mth-252-blocked-or-broken-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026,blocked_or_broken,Pre-Class Reading Quiz - 1.3 (RQ-1.3) : INTEGRAL CALCULUS (MTH_252Z_400_U2026),,,no_due_found,,2.5,,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982567,action_required,high,candidate,needs_retry,obj-mth-252-quiz-3167655,quiz,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655?module_item_id=26982567|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655/take?user_id=6660414|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655?module_item_id=26982567#|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655/questions/59192527|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655/questions/59192529|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655/questions/59192530|https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655/questions/59192528|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
