investigation_id,course_code,original_issue_type,offline_status,canvas_object_type,canvas_object_id,parent_object_id,url,live_status,live_reason,retry_still_needed,page_title,final_url,text_sample,error
access-0001,PHY-212,capture_failed,live_retry_required,assignment,10557032,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557032,captured_student_content,Live retry exposed readable student-facing content.,no,Topic: Course Introductions,https://canvas.oregonstate.edu/courses/2053526/discussion_topics/11563802,Skip To Content Account Dashboard Courses Groups Calendar Resources Inbox My Media Help GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026)DiscussionsCourse Introductions Summer 2026 Home Announcements Zoom Modules Discussions Gradescope Assignments Grades 30 People Poll Everywhere Syllabus Student Services Media Gallery Online Tutoring Access Pearson,
access-0010,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557112,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557112,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557112,Access Denied You don't have access to view this resource.,
access-0011,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556985,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556985,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556985,Access Denied You don't have access to view this resource.,
access-0012,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556981,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556981,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556981,Access Denied You don't have access to view this resource.,
access-0013,PHY-212,unauthorized,student_facing_blocked_item,page,,,https://canvas.oregonstate.edu/courses/2053526/pages/module-5-%7C-wave-optics-%7C-learning-materials,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/pages/module-5-%7C-wave-optics-%7C-learning-materials,Access Denied You don't have access to view this resource.,
access-0014,PHY-212,unauthorized,student_facing_blocked_item,page,,,https://canvas.oregonstate.edu/courses/2053526/pages/module-5-%7C-wave-optics-%7C-required-activities,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/pages/module-5-%7C-wave-optics-%7C-required-activities,Access Denied You don't have access to view this resource.,
access-0015,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557004,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557004,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557004,Access Denied You don't have access to view this resource.,
access-0016,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556988,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556988,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556988,Access Denied You don't have access to view this resource.,
access-0017,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556992,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556992,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556992,Access Denied You don't have access to view this resource.,
access-0018,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556979,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556979,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556979,Access Denied You don't have access to view this resource.,
access-0019,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557022,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557022,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557022,Access Denied You don't have access to view this resource.,
access-0020,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556962,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556962,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556962,Access Denied You don't have access to view this resource.,
access-0021,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556976,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556976,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556976,Access Denied You don't have access to view this resource.,
access-0022,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557018,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557018,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557018,Access Denied You don't have access to view this resource.,
access-0023,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557031,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557031,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557031,Access Denied You don't have access to view this resource.,
access-0024,PHY-212,unauthorized,student_facing_blocked_item,assignment,10557002,,https://canvas.oregonstate.edu/courses/2053526/assignments/10557002,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10557002,Access Denied You don't have access to view this resource.,
access-0025,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556942,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556942,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556942,Access Denied You don't have access to view this resource.,
access-0026,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556957,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556957,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556957,Access Denied You don't have access to view this resource.,
access-0027,PHY-212,unauthorized,student_facing_blocked_item,assignment,10556980,,https://canvas.oregonstate.edu/courses/2053526/assignments/10556980,access_denied,Canvas still shows Access Denied or Unauthorized.,yes,Unauthorized,https://canvas.oregonstate.edu/courses/2053526/assignments/10556980,Access Denied You don't have access to view this resource.,
