review_item_id,suspicion_id,course_id,course_code,review_state,next_action_type,severity,category,status,object_id,task_id,module_id,module_item_id,page_id,title,source_url,related_url,evidence_id,review_id,override_id,override_status,access_resolution_status,access_resolution_reason,access_final_action,suggested_action,detail
ri-00011,sus-00011,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557102,task-00346-phy-212-graded-task-quiz-1b-6pm,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 1B_6pm,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557102/submissions/6660414,ev-01740,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 1B_6pm Quiz B | Jul 6 by 6:55pm |  |  | Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557102 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 1B_6pm Quiz B Jul 6 by 6:55pm Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557102 Grade Info See scoring details See rubric results 0 comments 0
ri-00012,sus-00012,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557059,task-00327-phy-212-graded-task-lab-3-group-report,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Lab 3 Group report,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557059/submissions/6660414,ev-01741,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Lab 3 Group report lab | Jul 11 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 20 unsubmitted 3245380 10557059 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Lab 3 Group report lab Jul 11 by 11:59pm Click to test a different score Click to test a different score - / 20 unsubmitted 3245380 10557059 Grade Info See scoring details See rubric results 0 comments 0
ri-00013,sus-00013,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557105,task-00349-phy-212-graded-task-quiz-2-notes,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2 Notes,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557105/submissions/6660414,ev-01742,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2 Notes Quiz notes | Jul 18 by 5pm |  |  | Click to test a different score Click to test a different score - / 5 unsubmitted 3245383 10557105 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2 Notes Quiz notes Jul 18 by 5pm Click to test a different score Click to test a different score - / 5 unsubmitted 3245383 10557105 Grade Info See scoring details See rubric results 0 comments 0
ri-00014,sus-00014,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557060,task-00328-phy-212-graded-task-lab-4-group-report,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Lab 4 Group Report,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557060/submissions/6660414,ev-01743,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Lab 4 Group Report lab | Jul 18 by 11:59pm |  |  | Click to test a different score Click to test a different score - / 20 unsubmitted 3245380 10557060 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Lab 4 Group Report lab Jul 18 by 11:59pm Click to test a different score Click to test a different score - / 20 unsubmitted 3245380 10557060 Grade Info See scoring details See rubric results 0 comments 0
ri-00015,sus-00015,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557106,task-00350-phy-212-graded-task-quiz-2a,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2A,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557106/submissions/6660414,ev-01744,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2A Quiz A | Jul 20 by 11:25am |  |  | Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557106 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2A Quiz A Jul 20 by 11:25am Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557106 Grade Info See scoring details See rubric results 0 comments 0
ri-00016,sus-00016,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557109,task-00353-phy-212-graded-task-quiz-2b,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2B,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557109/submissions/6660414,ev-01745,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2B Quiz B | Jul 20 by 11:55am |  |  | Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557109 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2B Quiz B Jul 20 by 11:55am Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557109 Grade Info See scoring details See rubric results 0 comments 0
ri-00017,sus-00017,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557108,task-00352-phy-212-graded-task-quiz-2a-asy-work,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2A_asy_work,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557108/submissions/6660414,ev-01746,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2A_asy_work Quiz_asy work | Jul 20 by 5pm |  |  | Click to test a different score Click to test a different score - / 20 unsubmitted 3245387 10557108 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2A_asy_work Quiz_asy work Jul 20 by 5pm Click to test a different score Click to test a different score - / 20 unsubmitted 3245387 10557108 Grade Info See scoring details See rubric results 0 comments 0
ri-00018,sus-00018,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557111,task-00355-phy-212-graded-task-quiz-2b-asy-work,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2B_asy_work,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557111/submissions/6660414,ev-01747,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2B_asy_work Quiz_asy work | Jul 20 by 5pm |  |  | Click to test a different score Click to test a different score - / 40 unsubmitted 3245387 10557111 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2B_asy_work Quiz_asy work Jul 20 by 5pm Click to test a different score Click to test a different score - / 40 unsubmitted 3245387 10557111 Grade Info See scoring details See rubric results 0 comments 0
ri-00019,sus-00019,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557107,task-00351-phy-212-graded-task-quiz-2a-6pm,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2A_6pm,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557107/submissions/6660414,ev-01748,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2A_6pm Quiz A | Jul 20 by 6:25pm |  |  | Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557107 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2A_6pm Quiz A Jul 20 by 6:25pm Click to test a different score Click to test a different score - / 35 unsubmitted 3245384 10557107 Grade Info See scoring details See rubric results 0 comments 0
ri-00020,sus-00020,2053526,PHY-212,needs_manual_decision,manual_review,medium,grades_surface_crosscheck,grades_surface_task_not_in_modules,obj-phy-212-assignment-10557110,task-00354-phy-212-graded-task-quiz-2b-6pm,,,00020-phy-212-grades-grades-for-jacob-peterson-general-physics-with-calculus-ph-212-400-u2026,Quiz 2B_6pm,https://canvas.oregonstate.edu/courses/2053526/grades,https://canvas.oregonstate.edu/courses/2053526/assignments/10557110/submissions/6660414,ev-01749,,,,,,,Decide whether this surface-listed task needs module context or should stay grade/assignment-only.,cells=Quiz 2B_6pm Quiz B | Jul 20 by 6:55pm |  |  | Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557110 |  | Grade Info See scoring details See rubric results 0 comments 0 | ; text=Quiz 2B_6pm Quiz B Jul 20 by 6:55pm Click to test a different score Click to test a different score - / 40 unsubmitted 3245385 10557110 Grade Info See scoring details See rubric results 0 comments 0
