course_code,source_kind,source_surface,canvas_object_type,count
MTH-252,linked_detail,linked_detail,assignment,40
MTH-252,linked_detail,linked_detail,discussion,9
MTH-252,linked_detail,linked_detail,file,22
MTH-252,linked_detail,linked_detail,module_item,78
MTH-252,linked_detail,linked_detail,page,22
MTH-252,linked_detail,linked_detail,quiz,2
MTH-252,module_item,module_item,assignment,40
MTH-252,module_item,module_item,discussion,10
MTH-252,module_item,module_item,file,14
MTH-252,module_item,module_item,module_item,7
MTH-252,module_item,module_item,page,43
MTH-252,module_item,module_item,quiz,16
MTH-252,surface,syllabus,assignment,1
MTH-252,surface,announcements,course_page,1
MTH-252,surface,assignments,course_page,1
MTH-252,surface,home,course_page,1
MTH-252,surface,quizzes,course_page,1
MTH-252,surface,discussions,discussions,1
MTH-252,surface,grades,grades,1
MTH-252,surface,modules,modules,1
MTH-253,linked_detail,linked_detail,assignment,30
MTH-253,linked_detail,linked_detail,discussion,16
MTH-253,linked_detail,linked_detail,file,9
MTH-253,linked_detail,linked_detail,page,4
MTH-253,linked_detail,linked_detail,quiz,12
MTH-253,module_item,module_item,assignment,15
MTH-253,module_item,module_item,discussion,10
MTH-253,module_item,module_item,file,2
MTH-253,module_item,module_item,page,16
MTH-253,module_item,module_item,quiz,6
MTH-253,surface,syllabus,assignment,1
MTH-253,surface,announcements,course_page,1
MTH-253,surface,assignments,course_page,1
MTH-253,surface,home,course_page,1
MTH-253,surface,discussions,discussions,1
MTH-253,surface,grades,grades,1
MTH-253,surface,modules,modules,1
MTH-253,surface,quizzes,quizzes,1
PHY-212,assignment_detail,assignment_detail,assignment,6
PHY-212,assignment_detail,assignment_detail,discussion,2
PHY-212,assignment_detail,assignment_detail,quiz,12
PHY-212,linked_detail,linked_detail,assignment,11
PHY-212,linked_detail,linked_detail,discussion,6
PHY-212,linked_detail,linked_detail,discussions,1
PHY-212,linked_detail,linked_detail,file,3
PHY-212,linked_detail,linked_detail,page,9
PHY-212,linked_detail,linked_detail,quiz,49
PHY-212,module_item,module_item,discussion,1
PHY-212,module_item,module_item,file,2
PHY-212,module_item,module_item,page,32
PHY-212,module_item,module_item,quiz,3
PHY-212,surface,syllabus,assignment,1
PHY-212,surface,assignments,assignments,1
PHY-212,surface,announcements,course_page,1
PHY-212,surface,home,course_page,1
PHY-212,surface,quizzes,course_page,1
PHY-212,surface,discussions,discussions,1
PHY-212,surface,grades,grades,1
PHY-212,surface,modules,modules,1
