rank,course_id,course_code,task_id,task_type,title,due_sort_key,due_text,due_status,available_text,points_text,estimated_time,module_titles,module_item_ids,actionability,confidence,review_state,recursive_review_states,object_id,object_type,source_urls,next_action
18,2080857,MTH-252,task-00046-mth-252-graded-task-topic-module-5-discussion-reflection-mini-exam-2-0-5-hour,graded_task,Topic: Module 5 — Discussion Reflection: Mini-Exam 2 🕓 0.5 hour,2026-07-24T23:59,Jul 24 at 11:59pm,upcoming,,,0.5 hour,Module 5: Techniques to Solve Integrals,mi-mth-252-26982593,action_required,high,candidate,,obj-mth-252-discussion-11593471,discussion,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593471?module_item_id=26982593|https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593471|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
265,2053263,MTH-253,task-00270-mth-253-graded-task-week-5-web-homework-comparison-and-alternate-series-tests,graded_task,Week 5 Web Homework: Comparison and Alternate Series Tests,2026-07-26T23:59,Jul 26 by 11:59pm,upcoming,,5,,"Unit 3 - Weeks 4, 5, and 6",mi-mth-253-26977977,action_required,high,candidate,needs_manual_decision,obj-mth-253-assignment-10584434,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10584434?module_item_id=26977977|https://canvas.oregonstate.edu/courses/2053263/assignments/10584434|https://canvas.oregonstate.edu/courses/2053263/assignments/10584434?module_item_id=26977977#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
19,2080857,MTH-252,task-00013-mth-252-graded-task-achieve-3-1-integration-by-parts,graded_task,Achieve - 3.1 Integration by Parts,2026-07-27T23:59,Jul 27 by 11:59pm,upcoming,,5,,Module 5: Techniques to Solve Integrals,mi-mth-252-26982595,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586037,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586037?module_item_id=26982595|https://canvas.oregonstate.edu/courses/2080857/assignments/10586037?module_item_id=26982595#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
20,2080857,MTH-252,task-00014-mth-252-graded-task-achieve-3-2-trigonometric-integrals,graded_task,Achieve - 3.2 Trigonometric Integrals,2026-07-27T23:59,Jul 27 by 11:59pm,upcoming,,5,,Module 5: Techniques to Solve Integrals,mi-mth-252-26982596,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586038,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586038?module_item_id=26982596|https://canvas.oregonstate.edu/courses/2080857/assignments/10586038?module_item_id=26982596#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
21,2080857,MTH-252,task-00034-mth-252-graded-task-module-5-written-homework-whw-5-3-hours,graded_task,Module 5 — Written Homework (WHW 5) 🕓 3 hours,2026-07-27T23:59,Jul 27 by 11:59pm,upcoming,,1.5,3 hours,Module 5: Techniques to Solve Integrals,mi-mth-252-26982594,action_required,high,candidate,,obj-mth-252-assignment-10586058,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586058?module_item_id=26982594|https://canvas.oregonstate.edu/courses/2080857/assignments/10586058?module_item_id=26982594#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
266,2053263,MTH-253,task-00262-mth-253-graded-task-unit-3-written-homework-assignment,graded_task,Unit 3 - Written Homework Assignment,2026-07-30T23:59,Jul 30 by 11:59pm,upcoming,,5,,"Unit 3 - Weeks 4, 5, and 6",mi-mth-253-26885565,action_required,high,candidate,,obj-mth-253-assignment-10553181,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10553181?module_item_id=26885565|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181|https://canvas.oregonstate.edu/courses/2053263/assignments/10553181?module_item_id=26885565#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
267,2053263,MTH-253,task-00271-mth-253-graded-task-week-6-web-homework-ratio-and-root-tests,graded_task,Week 6 Web Homework: Ratio and Root Tests,2026-08-02T23:59,Aug 2 by 11:59pm,upcoming,,5,,"Unit 3 - Weeks 4, 5, and 6",mi-mth-253-26977980,action_required,high,candidate,needs_manual_decision,obj-mth-253-assignment-10584435,assignment,https://canvas.oregonstate.edu/courses/2053263/assignments/10584435?module_item_id=26977980|https://canvas.oregonstate.edu/courses/2053263/assignments/10584435|https://canvas.oregonstate.edu/courses/2053263/assignments/10584435?module_item_id=26977980#|https://canvas.oregonstate.edu/courses/2053263/modules|https://canvas.oregonstate.edu/courses/2053263/grades,Plan/complete this task according to its module and due information.
22,2080857,MTH-252,task-00015-mth-252-graded-task-achieve-3-3-trigonometric-substitution,graded_task,Achieve - 3.3 Trigonometric Substitution,2026-08-03T23:59,Aug 3 by 11:59pm,upcoming,,5,,Module 6: Techniques Continued,mi-mth-252-26982605,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586039,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586039?module_item_id=26982605|https://canvas.oregonstate.edu/courses/2080857/assignments/10586039?module_item_id=26982605#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
23,2080857,MTH-252,task-00016-mth-252-graded-task-achieve-3-4-partial-fractions,graded_task,Achieve - 3.4 Partial Fractions,2026-08-03T23:59,Aug 3 by 11:59pm,upcoming,,5,,Module 6: Techniques Continued,mi-mth-252-26982606,action_required,high,candidate,needs_manual_decision,obj-mth-252-assignment-10586040,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586040?module_item_id=26982606|https://canvas.oregonstate.edu/courses/2080857/assignments/10586040?module_item_id=26982606#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
24,2080857,MTH-252,task-00035-mth-252-graded-task-module-6-written-homework-whw-6-3-hours,graded_task,Module 6 — Written Homework (WHW 6) 🕓 3 hours,2026-08-03T23:59,Aug 3 by 11:59pm,upcoming,,5,3 hours,Module 6: Techniques Continued,mi-mth-252-26982603,action_required,high,candidate,,obj-mth-252-assignment-10586059,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586059?module_item_id=26982603|https://canvas.oregonstate.edu/courses/2080857/assignments/10586059?module_item_id=26982603#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
25,2080857,MTH-252,task-00047-mth-252-graded-task-topic-module-6-discussion-reflection-whw-6-0-5-hour,graded_task,Topic: Module 6 — Discussion Reflection: WHW 6 🕓 0.5 hour,2026-08-04T23:59,Aug 4 at 11:59pm,upcoming,,,0.5 hour,Module 6: Techniques Continued,mi-mth-252-26982604,action_required,high,candidate,,obj-mth-252-discussion-11593470,discussion,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593470?module_item_id=26982604|https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593470|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
26,2080857,MTH-252,task-00026-mth-252-graded-task-mini-exam-3-tuesday-to-thursday,graded_task,Mini-Exam 3 --> Tuesday to Thursday,2026-08-06T23:59,Aug 6 by 11:59pm,upcoming,,5,,Mini-Exam 3: Available Tuesday - Thursday of Week 7,mi-mth-252-26982607,action_required,high,candidate,,obj-mth-252-assignment-10586050,assignment,https://canvas.oregonstate.edu/courses/2080857/assignments/10586050?module_item_id=26982607|https://canvas.oregonstate.edu/courses/2080857/assignments/10586050?module_item_id=26982607#|https://canvas.oregonstate.edu/courses/2080857/modules|https://canvas.oregonstate.edu/courses/2080857/grades,Plan/complete this task according to its module and due information.
27,2080857,MTH-252,task-00048-mth-252-graded-task-topic-module-7-discussion-reflection-mini-exam-3-0-5-hour,graded_task,Topic: Module 7 — Discussion Reflection: Mini-Exam 3 🕓 0.5 hour,2026-08-07T23:59,Aug 7 at 11:59pm,upcoming,,,0.5 hour,Module 7: Applications of Integration - Graphical,mi-mth-252-26982618,action_required,high,candidate,,obj-mth-252-discussion-11593469,discussion,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593469?module_item_id=26982618|https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593469|https://canvas.oregonstate.edu/courses/2080857/modules,Plan/complete this task according to its module and due information.
