object_id,page_id,course_id,course_code,object_type,canvas_object_id,title,requested_url,resolved_url,redirected,source_kind,source_surface,markdown_path,metadata_path
obj-mth-252-assignment-10586030,00087-mth-252-module-item-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions,2080857,MTH-252,assignment,10586030,Achieve - 1.6 Integrals Involving Exponential and Logarithmic Functions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982583,https://canvas.oregonstate.edu/courses/2080857/assignments/10586030?module_item_id=26982583,yes,module_item,module_item,markdown/00087-mth-252-module-item-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions.md,metadata/00087-mth-252-module-item-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions.json
obj-mth-252-assignment-10586030,00389-mth-252-linked-detail-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions,2080857,MTH-252,assignment,10586030,Achieve - 1.6 Integrals Involving Exponential and Logarithmic Functions,https://canvas.oregonstate.edu/courses/2080857/assignments/10586030?module_item_id=26982583#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586030?module_item_id=26982583#,,linked_detail,linked_detail,markdown/00389-mth-252-linked-detail-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions.md,metadata/00389-mth-252-linked-detail-achieve-1-6-integrals-involving-exponential-and-logarithmic-functions.json
obj-mth-252-assignment-10586031,00119-mth-252-module-item-achieve-2-1-areas-between-curves,2080857,MTH-252,assignment,10586031,Achieve - 2.1 Areas between Curves,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982615,https://canvas.oregonstate.edu/courses/2080857/assignments/10586031?module_item_id=26982615,yes,module_item,module_item,markdown/00119-mth-252-module-item-achieve-2-1-areas-between-curves.md,metadata/00119-mth-252-module-item-achieve-2-1-areas-between-curves.json
obj-mth-252-assignment-10586031,00420-mth-252-linked-detail-achieve-2-1-areas-between-curves,2080857,MTH-252,assignment,10586031,Achieve - 2.1 Areas between Curves,https://canvas.oregonstate.edu/courses/2080857/assignments/10586031?module_item_id=26982615#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586031?module_item_id=26982615#,,linked_detail,linked_detail,markdown/00420-mth-252-linked-detail-achieve-2-1-areas-between-curves.md,metadata/00420-mth-252-linked-detail-achieve-2-1-areas-between-curves.json
obj-mth-252-assignment-10586032,00120-mth-252-module-item-achieve-2-2-volumes-by-slicing-and-disc-washer-method,2080857,MTH-252,assignment,10586032,Achieve - 2.2 Volumes by Slicing and Disc/Washer Method,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982616,https://canvas.oregonstate.edu/courses/2080857/assignments/10586032?module_item_id=26982616,yes,module_item,module_item,markdown/00120-mth-252-module-item-achieve-2-2-volumes-by-slicing-and-disc-washer-method.md,metadata/00120-mth-252-module-item-achieve-2-2-volumes-by-slicing-and-disc-washer-method.json
obj-mth-252-assignment-10586032,00421-mth-252-linked-detail-achieve-2-2-volumes-by-slicing-and-disc-washer-method,2080857,MTH-252,assignment,10586032,Achieve - 2.2 Volumes by Slicing and Disc/Washer Method,https://canvas.oregonstate.edu/courses/2080857/assignments/10586032?module_item_id=26982616#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586032?module_item_id=26982616#,,linked_detail,linked_detail,markdown/00421-mth-252-linked-detail-achieve-2-2-volumes-by-slicing-and-disc-washer-method.md,metadata/00421-mth-252-linked-detail-achieve-2-2-volumes-by-slicing-and-disc-washer-method.json
obj-mth-252-assignment-10586033,00132-mth-252-module-item-achieve-2-3-volumes-of-revolution-cylindrical-shells,2080857,MTH-252,assignment,10586033,Achieve - 2.3 Volumes of Revolution: Cylindrical Shells,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982628,https://canvas.oregonstate.edu/courses/2080857/assignments/10586033?module_item_id=26982628,yes,module_item,module_item,markdown/00132-mth-252-module-item-achieve-2-3-volumes-of-revolution-cylindrical-shells.md,metadata/00132-mth-252-module-item-achieve-2-3-volumes-of-revolution-cylindrical-shells.json
obj-mth-252-assignment-10586033,00427-mth-252-linked-detail-achieve-2-3-volumes-of-revolution-cylindrical-shells,2080857,MTH-252,assignment,10586033,Achieve - 2.3 Volumes of Revolution: Cylindrical Shells,https://canvas.oregonstate.edu/courses/2080857/assignments/10586033?module_item_id=26982628#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586033?module_item_id=26982628#,,linked_detail,linked_detail,markdown/00427-mth-252-linked-detail-achieve-2-3-volumes-of-revolution-cylindrical-shells.md,metadata/00427-mth-252-linked-detail-achieve-2-3-volumes-of-revolution-cylindrical-shells.json
obj-mth-252-assignment-10586034,00142-mth-252-module-item-achieve-2-5-1-physical-applications,2080857,MTH-252,assignment,10586034,Achieve - 2.5 - 1 Physical Applications,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982638,https://canvas.oregonstate.edu/courses/2080857/assignments/10586034?module_item_id=26982638,yes,module_item,module_item,markdown/00142-mth-252-module-item-achieve-2-5-1-physical-applications.md,metadata/00142-mth-252-module-item-achieve-2-5-1-physical-applications.json
obj-mth-252-assignment-10586034,00435-mth-252-linked-detail-achieve-2-5-1-physical-applications,2080857,MTH-252,assignment,10586034,Achieve - 2.5 - 1 Physical Applications,https://canvas.oregonstate.edu/courses/2080857/assignments/10586034?module_item_id=26982638#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586034?module_item_id=26982638#,,linked_detail,linked_detail,markdown/00435-mth-252-linked-detail-achieve-2-5-1-physical-applications.md,metadata/00435-mth-252-linked-detail-achieve-2-5-1-physical-applications.json
obj-mth-252-assignment-10586036,00143-mth-252-module-item-achieve-2-5-2-physical-applications,2080857,MTH-252,assignment,10586036,Achieve - 2.5 - 2 Physical Applications,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982639,https://canvas.oregonstate.edu/courses/2080857/assignments/10586036?module_item_id=26982639,yes,module_item,module_item,markdown/00143-mth-252-module-item-achieve-2-5-2-physical-applications.md,metadata/00143-mth-252-module-item-achieve-2-5-2-physical-applications.json
obj-mth-252-assignment-10586036,00436-mth-252-linked-detail-achieve-2-5-2-physical-applications,2080857,MTH-252,assignment,10586036,Achieve - 2.5 - 2 Physical Applications,https://canvas.oregonstate.edu/courses/2080857/assignments/10586036?module_item_id=26982639#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586036?module_item_id=26982639#,,linked_detail,linked_detail,markdown/00436-mth-252-linked-detail-achieve-2-5-2-physical-applications.md,metadata/00436-mth-252-linked-detail-achieve-2-5-2-physical-applications.json
obj-mth-252-assignment-10586037,00099-mth-252-module-item-achieve-3-1-integration-by-parts,2080857,MTH-252,assignment,10586037,Achieve - 3.1 Integration by Parts,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982595,https://canvas.oregonstate.edu/courses/2080857/assignments/10586037?module_item_id=26982595,yes,module_item,module_item,markdown/00099-mth-252-module-item-achieve-3-1-integration-by-parts.md,metadata/00099-mth-252-module-item-achieve-3-1-integration-by-parts.json
obj-mth-252-assignment-10586037,00405-mth-252-linked-detail-achieve-3-1-integration-by-parts,2080857,MTH-252,assignment,10586037,Achieve - 3.1 Integration by Parts,https://canvas.oregonstate.edu/courses/2080857/assignments/10586037?module_item_id=26982595#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586037?module_item_id=26982595#,,linked_detail,linked_detail,markdown/00405-mth-252-linked-detail-achieve-3-1-integration-by-parts.md,metadata/00405-mth-252-linked-detail-achieve-3-1-integration-by-parts.json
obj-mth-252-assignment-10586038,00100-mth-252-module-item-achieve-3-2-trigonometric-integrals,2080857,MTH-252,assignment,10586038,Achieve - 3.2 Trigonometric Integrals,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982596,https://canvas.oregonstate.edu/courses/2080857/assignments/10586038?module_item_id=26982596,yes,module_item,module_item,markdown/00100-mth-252-module-item-achieve-3-2-trigonometric-integrals.md,metadata/00100-mth-252-module-item-achieve-3-2-trigonometric-integrals.json
obj-mth-252-assignment-10586038,00406-mth-252-linked-detail-achieve-3-2-trigonometric-integrals,2080857,MTH-252,assignment,10586038,Achieve - 3.2 Trigonometric Integrals,https://canvas.oregonstate.edu/courses/2080857/assignments/10586038?module_item_id=26982596#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586038?module_item_id=26982596#,,linked_detail,linked_detail,markdown/00406-mth-252-linked-detail-achieve-3-2-trigonometric-integrals.md,metadata/00406-mth-252-linked-detail-achieve-3-2-trigonometric-integrals.json
obj-mth-252-assignment-10586039,00109-mth-252-module-item-achieve-3-3-trigonometric-substitution,2080857,MTH-252,assignment,10586039,Achieve - 3.3 Trigonometric Substitution,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982605,https://canvas.oregonstate.edu/courses/2080857/assignments/10586039?module_item_id=26982605,yes,module_item,module_item,markdown/00109-mth-252-module-item-achieve-3-3-trigonometric-substitution.md,metadata/00109-mth-252-module-item-achieve-3-3-trigonometric-substitution.json
obj-mth-252-assignment-10586039,00411-mth-252-linked-detail-achieve-3-3-trigonometric-substitution,2080857,MTH-252,assignment,10586039,Achieve - 3.3 Trigonometric Substitution,https://canvas.oregonstate.edu/courses/2080857/assignments/10586039?module_item_id=26982605#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586039?module_item_id=26982605#,,linked_detail,linked_detail,markdown/00411-mth-252-linked-detail-achieve-3-3-trigonometric-substitution.md,metadata/00411-mth-252-linked-detail-achieve-3-3-trigonometric-substitution.json
obj-mth-252-assignment-10586040,00110-mth-252-module-item-achieve-3-4-partial-fractions,2080857,MTH-252,assignment,10586040,Achieve - 3.4 Partial Fractions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982606,https://canvas.oregonstate.edu/courses/2080857/assignments/10586040?module_item_id=26982606,yes,module_item,module_item,markdown/00110-mth-252-module-item-achieve-3-4-partial-fractions.md,metadata/00110-mth-252-module-item-achieve-3-4-partial-fractions.json
obj-mth-252-assignment-10586040,00412-mth-252-linked-detail-achieve-3-4-partial-fractions,2080857,MTH-252,assignment,10586040,Achieve - 3.4 Partial Fractions,https://canvas.oregonstate.edu/courses/2080857/assignments/10586040?module_item_id=26982606#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586040?module_item_id=26982606#,,linked_detail,linked_detail,markdown/00412-mth-252-linked-detail-achieve-3-4-partial-fractions.md,metadata/00412-mth-252-linked-detail-achieve-3-4-partial-fractions.json
obj-mth-252-assignment-10586041,00151-mth-252-module-item-achieve-3-7-improper-integrals,2080857,MTH-252,assignment,10586041,Achieve - 3.7 Improper Integrals,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982648,https://canvas.oregonstate.edu/courses/2080857/assignments/10586041?module_item_id=26982648,yes,module_item,module_item,markdown/00151-mth-252-module-item-achieve-3-7-improper-integrals.md,metadata/00151-mth-252-module-item-achieve-3-7-improper-integrals.json
obj-mth-252-assignment-10586041,00441-mth-252-linked-detail-achieve-3-7-improper-integrals,2080857,MTH-252,assignment,10586041,Achieve - 3.7 Improper Integrals,https://canvas.oregonstate.edu/courses/2080857/assignments/10586041?module_item_id=26982648#,https://canvas.oregonstate.edu/courses/2080857/assignments/10586041?module_item_id=26982648#,,linked_detail,linked_detail,markdown/00441-mth-252-linked-detail-achieve-3-7-improper-integrals.md,metadata/00441-mth-252-linked-detail-achieve-3-7-improper-integrals.json
