course,topic-id,topic-number,topic-name
MF3,3684,2.2.6,Further Solving of Two-Variable Nonlinear Inequalities
MF3,803,3.1.1,Graphing Curves Defined Parametrically
MF3,1255,3.1.2,Cartesian Equations of Parametric Curves
MF3,1257,3.1.3,Finding Intersections of Parametric Curves and Lines
MF3,798,3.1.4,Differentiating Parametric Curves
MF3,799,3.1.5,Calculating Tangent and Normal Lines with Parametric Equations
MF3,431,3.1.6,Second Derivatives of Parametric Equations
MF3,997,3.1.7,The Arc Length of a Parametric Curve
MF3,935,3.2.1,Introduction to Polar Coordinates
MF3,936,3.2.2,Converting from Polar Coordinates to Cartesian Coordinates
MF3,937,3.2.3,Polar Equations of Circles Centered at the Origin
MF3,2173,3.2.4,Polar Equations of Radial Lines
MF3,998,3.2.5,Differentiating Curves Given in Polar Form
MF3,3854,3.2.6,Further Differentiation of Curves Given in Polar Form
MF3,1000,3.2.7,Finding the Area of a Polar Region
MF3,999,3.2.8,The Arc Length of a Polar Curve
MF3,1183,4.1.1,Circles in the Coordinate Plane
MF3,842,4.1.2,Equations of Circles Centered at the Origin
MF3,843,4.1.3,Equations of Circles
MF3,666,4.1.4,Determining Circle Properties by Completing the Square
MF3,844,4.1.5,Calculating Circle Intercepts
MF3,845,4.1.6,Intersections of Circles with Lines
MF3,806,4.1.7,Parametric Equations of Circles
MF3,1125,4.2.1,Upward and Downward Opening Parabolas
MF3,1124,4.2.2,Left and Right Opening Parabolas
MF3,1128,4.2.3,The Vertex of a Parabola
MF3,3534,4.2.4,Calculating the Vertex of a Parabola by Completing the Square
MF3,1132,4.2.5,Calculating Intercepts of Parabolas
MF3,875,4.2.6,Parametric Equations of Parabolas
MF3,2837,4.2.7,"Parametric Equations of Parabolas Centered at (h,k)"
MF3,853,4.3.1,Introduction to Ellipses
MF3,848,4.3.2,Equations of Ellipses Centered at the Origin
MF3,849,4.3.3,Equations of Ellipses Centered at a General Point
MF3,852,4.3.4,Finding the Center and Axes of Ellipses by Completing the Square
MF3,850,4.3.5,Finding Intercepts of Ellipses
MF3,2746,4.3.6,Parametric Equations of Ellipses
MF3,871,4.4.1,Equations of Hyperbolas Centered at the Origin
MF3,733,4.4.2,Equations of Hyperbolas Centered at a General Point
MF3,872,4.4.3,Asymptotes of Hyperbolas Centered at the Origin
MF3,1029,4.4.4,Asymptotes of Hyperbolas Centered at a General Point
MF3,874,4.4.5,Finding Intercepts and Intersections of Hyperbolas
MF3,873,4.4.6,Parametric Equations of Horizontal Hyperbolas
MF3,2981,4.4.7,Parametric Equations of Vertical Hyperbolas
MF3,1483,5.1.1,Graphing the Inverse Sine Function
MF3,1486,5.1.2,Graphing the Inverse Cosine Function
MF3,1487,5.1.3,Graphing the Inverse Tangent Function
MF3,209,5.1.4,Evaluating Expressions Containing Inverse Trigonometric Functions
MF3,3811,5.1.5,Limits of Inverse Trigonometric Functions
MF3,913,5.2.1,Elementary Trigonometric Equations Containing Sine
MF3,914,5.2.2,Elementary Trigonometric Equations Containing Cosine
MF3,915,5.2.3,Elementary Trigonometric Equations Containing Tangent
MF3,1565,5.2.4,Elementary Trigonometric Equations Containing Secant
MF3,1566,5.2.5,Elementary Trigonometric Equations Containing Cosecant
MF3,1567,5.2.6,Elementary Trigonometric Equations Containing Cotangent
MF3,947,5.2.7,Solving Trigonometric Equations Using the Sin-Cos-Tan Identity
MF3,1258,5.2.8,General Solutions of Elementary Trigonometric Equations
MF3,1259,5.2.9,General Solutions of Trigonometric Equations With Transformed Functions
MF3,923,5.2.10,Trigonometric Equations Containing Transformed Tangent Functions
MF3,203,5.3.1,Simplifying Expressions Using Basic Trigonometric Identities
MF3,207,5.3.2,Simplifying Expressions Using the Pythagorean Identity
MF3,205,5.3.3,Alternate Forms of the Pythagorean Identity
MF3,1454,5.3.4,Simplifying Expressions Using the Secant-Tangent Identity
MF3,3857,5.3.5,Alternate Forms of the Secant-Tangent Identity
MF3,1455,5.3.6,Simplifying Trigonometric Expressions Using the Cotangent-Cosecant Identity
MF3,270,5.4.1,The Sum and Difference Formulas for Sine
MF3,274,5.4.2,The Sum and Difference Formulas for Cosine
MF3,1076,5.4.3,Writing Sums of Trigonometric Functions in Amplitude-Phase Form
MF3,271,5.4.4,The Double-Angle Formula for Sine
MF3,831,5.4.5,The Double-Angle Formula for Cosine
MF3,892,6.1.1,The Complex Conjugate
MF3,905,6.1.2,Special Properties of the Complex Conjugate
MF3,1647,6.1.3,The Complex Conjugate and the Roots of a Quadratic Equation
MF3,227,6.1.4,Dividing Complex Numbers
MF3,159,6.1.5,Solving Equations by Equating Real and Imaginary Parts
MF3,696,6.1.6,Extending Polynomial Identities to the Complex Numbers
MF3,894,6.2.1,The Polar Form of a Complex Number
MF3,925,6.2.2,De Moivre's Theorem
MF3,898,6.2.3,Euler's Formula
MF3,3400,6.2.4,The Roots of Unity
MF3,4050,6.2.5,Properties of Roots of Unity
MF3,724,6.3.1,The Fundamental Theorem of Algebra for Quadratic Equations
MF3,896,6.3.2,The Fundamental Theorem of Algebra with Cubic Equations
MF3,3653,6.3.3,Solving Cubic Equations With Complex Roots
MF3,897,6.3.4,The Fundamental Theorem of Algebra with Quartic Equations
MF3,3657,6.3.5,Solving Quartic Equations With Complex Roots
MF3,463,7.1.1,L'Hopital's Rule
MF3,1087,7.1.2,Limits of Sequences
MF3,606,7.1.3,Special Limits Involving Sine
MF3,2610,7.1.4,Limits Involving the Exponential Function
MF3,1815,7.1.5,Vertical Asymptotes of Rational Functions
MF3,1903,7.1.6,Limits at Infinity and Horizontal Asymptotes of Rational Functions
MF3,604,7.1.7,Calculating Limits of Radical Functions Using Conjugate Multiplication
MF3,607,7.1.8,Evaluating Limits at Infinity by Comparing Relative Magnitudes of Functions
MF3,1245,7.1.9,Determining Limits of Sequences Using Relative Magnitudes
MF3,2006,7.2.1,Continuity of Functions
MF3,2150,7.2.2,The Intermediate Value Theorem
MF3,57,8.1.1,Implicit Differentiation
MF3,3216,8.1.2,"Calculating Slopes of Circles, Ellipses, and Parabolas"
MF3,1784,8.1.3,Calculating dy/dx Using dx/dy
MF3,1785,8.1.4,Differentiating Inverse Functions
MF3,291,8.1.5,Differentiating an Inverse Function at a Point
MF3,303,8.1.6,Differentiating Inverse Trigonometric Functions
MF3,1721,8.1.7,Differentiating Inverse Reciprocal Trigonometric Functions
MF3,342,8.1.8,Integration Using Inverse Trigonometric Functions
MF3,1691,8.2.1,Continuity and Differentiability of Functions
MF3,288,8.2.2,The Mean Value Theorem
MF3,313,8.2.3,Global vs. Local Extrema and Critical Points
MF3,3571,8.2.4,The Extreme Value Theorem
MF3,752,8.2.5,Using Differentiation to Calculate Critical Points
MF3,1359,8.2.6,Determining Intervals on Which a Function Is Increasing or Decreasing
MF3,1360,8.2.7,Using the First Derivative Test to Classify Local Extrema
MF3,364,8.2.8,The Candidates Test
MF3,363,8.2.9,Intervals of Concavity
