course,topic,requires
MF2,1886,117
MF2,1886,754
MF2,1886,790
MF1,1888,802
MF2,1889,756
MF2,1889,1886
MF3,1903,808
MF3,1903,1905
MF2,1905,1263
MF2,1905,1814
MF2,1905,2033
MF2,1914,1716
MF1,1927,2204
MF2,1958,776
MF2,1958,1719
MF3,1959,865
MF3,1959,1195
MF2,1985,3821
MF2,1985,6219
MF2,1986,37
MF2,1986,1600
MF2,1986,1873
MF2,1986,3741
MF1,1987,121
MF1,1987,3561
MF3,2006,612
MF3,2006,778
MF3,2006,1610
MF3,2006,1815
MF3,2006,2064
MF1,2012,125
MF2,2013,361
MF2,2013,435
MF2,2021,1453
MF2,2021,4037
MF1,2022,3821
MF3,2023,620
MF3,2023,2274
MF3,2023,3215
MF3,2023,3664
MF3,2024,1290
MF3,2024,1628
MF2,2033,2046
MF2,2033,3728
MF2,2034,589
MF2,2034,2205
MF3,2036,176
MF3,2036,2327
MF3,2036,4638
MF2,2038,754
MF2,2038,1628
MF2,2038,2048
MF2,2046,1628
MF1,2048,97
MF1,2048,754
MF2,2049,2050
MF2,2050,2084
MF2,2062,259
MF2,2062,388
MF2,2064,3566
MF2,2064,3850
MF2,2064,5088
MF3,2076,118
MF3,2076,3822
MF2,2082,455
MF2,2084,1656
MF2,2119,394
MF2,2119,425
MF2,2119,728
MF2,2119,846
MF2,2119,1422
MF3,2147,2049
MF3,2147,3833
MF2,2148,165
MF3,2150,2006
MF3,2162,118
MF3,2162,660
MF3,2162,727
MF1,2172,1378
MF3,2173,937
MF1,2174,3718
MF1,2181,79
MF1,2181,85
MF1,2181,811
MF1,2183,64
MF1,2184,470
MF1,2184,1927
MF1,2184,2240
MF1,2195,2174
MF1,2202,3719
MF1,2204,1819
MF1,2204,3585
MF2,2205,2204
MF2,2205,2558
MF1,2213,64
MF1,2213,557
MF1,2213,645
MF1,2213,2454
MF2,2214,668
MF2,2214,3695
MF2,2215,680
MF2,2216,1379
MF2,2216,1516
MF2,2217,1518
MF2,2218,483
MF2,2218,1515
MF1,2220,470
MF1,2220,3765
MF1,2225,95
MF2,2226,1322
MF2,2226,3535
MF2,2226,3751
MF2,2227,1322
MF2,2227,1517
MF2,2227,3751
MF1,2229,1223
MF1,2229,2012
MF1,2229,3869
MF1,2229,3872
MF1,2230,68
MF1,2230,323
MF1,2230,557
MF1,2230,3872
MF1,2231,2230
MF1,2231,4196
MF1,2231,4197
MF1,2233,557
MF1,2233,3746
MF1,2233,3868
MF1,2233,3869
MF1,2233,3870
MF1,2234,549
MF1,2234,2310
MF1,2234,2339
MF1,2234,2340
MF1,2234,2355
MF1,2234,3872
MF1,2240,2204
MF1,2244,138
MF1,2270,66
MF2,2271,802
MF1,2273,323
MF1,2273,1415
MF1,2273,2552
MF1,2273,2554
MF1,2274,2231
MF1,2274,2552
MF1,2274,2554
MF1,2275,371
MF1,2275,2012
MF1,2278,1463
MF1,2278,1500
MF1,2278,3873
MF1,2281,2442
MF1,2310,178
MF1,2321,2314
MF1,2321,2392
MF1,2327,418
MF1,2327,1588
MF1,2327,3593
MF2,2336,382
MF2,2336,4951
MF2,2337,382
MF2,2337,4951
MF1,2353,539
MF1,2353,2374
MF1,2354,2352
MF1,2354,2353
MF1,2356,2354
MF1,2356,2357
MF1,2357,545
MF1,2357,2353
MF1,2357,2372
MF1,2360,3901
MF1,2360,3968
MF1,2365,2363
MF1,2365,2440
MF1,2369,530
MF1,2369,2378
MF1,2369,2436
MF1,2372,544
MF1,2372,2374
MF1,2374,543
MF1,2374,2365
MF1,2376,538
MF1,2376,2365
MF1,2376,3935
MF1,2377,533
MF1,2377,2388
MF1,2377,2412
MF1,2377,2459
MF1,2378,2360
MF1,2378,3079
MF1,2379,2459
MF1,2380,2379
MF1,2381,2380
MF1,2382,2369
MF1,2382,2377
MF1,2382,2438
MF1,2388,3901
MF1,2403,236
MF1,2403,4198
MF1,2436,528
MF1,2437,529
MF1,2437,3951
MF1,2438,2359
MF1,2438,2412
MF1,2438,2436
MF1,2438,4698
MF1,2440,2206
MF1,2451,562
MF1,2452,562
MF1,2452,2289
MF1,2453,2329
MF1,2453,2347
MF1,2453,2378
MF1,2453,2451
MF1,2453,2452
MF1,2453,2459
MF1,2454,540
MF1,2454,2453
MF1,2455,2453
MF1,2456,2382
MF1,2456,2453
MF1,2458,2360
MF1,2458,3923
MF1,2459,2378
MF1,2459,2458
MF1,2464,2465
MF1,2465,2471
MF1,2466,1629
MF2,2467,3751
MF2,2468,2484
MF2,2469,576
MF2,2469,2468
MF1,2471,1153
MF1,2471,1499
MF1,2471,2234
MF1,2472,142
MF1,2472,1153
MF1,2472,2234
MF1,2475,2398
MF1,2475,3537
MF1,2476,2378
MF1,2476,3537
MF1,2477,2355
MF1,2477,3537
MF2,2484,2467
MF2,2534,374
MF2,2534,391
MF2,2534,680
MF2,2534,1587
MF2,2534,3748
MF1,2552,92
MF1,2552,561
MF1,2552,2553
MF1,2553,40
MF1,2553,554
MF1,2553,557
MF1,2554,2553
MF1,2558,2335
MF1,2558,2442
MF1,2560,63
MF1,2560,2454
MF1,2561,297
MF1,2561,299
MF1,2561,328
MF1,2561,2398
MF1,2561,3719
MF1,2564,40
MF1,2564,2558
MF2,2585,92
MF2,2585,2478
MF1,2607,1224
MF1,2607,3709
MF2,2609,398
MF2,2609,2585
MF3,2610,37
MF3,2610,1717
MF2,2625,79
MF2,2625,755
MF2,2626,2625
MF3,2706,863
MF3,2706,1959
MF3,2706,3725
MF2,2707,1888
MF3,2746,806
MF3,2746,849
MF1,2805,536
MF1,2805,2396
MF2,2826,45
MF2,2827,45
MF2,2827,347
MF3,2837,875
MF3,2839,3284
MF2,2841,634
MF2,2841,1150
MF2,2841,1585
MF2,2849,1317
MF2,2849,2468
MF3,2855,1495
MF3,2855,1587
MF3,2855,3748
MF3,2856,116
MF3,2856,350
MF3,2857,30
MF3,2857,3737
MF3,2857,4034
MF3,2858,350
MF3,2858,1610
MF3,2858,1643
MF3,2859,2855
MF3,2859,2979
MF3,2859,3833
MF2,2883,355
MF2,2883,728
MF3,2975,632
MF3,2975,1040
MF3,2976,57
MF3,2976,339
MF3,2976,1046
MF3,2976,1181
MF2,2978,661
MF2,2978,756
MF2,2979,393
MF2,2979,394
MF2,2979,1422
MF3,2981,872
MF3,2981,1255
MF3,2982,350
MF3,2982,1609
MF3,2982,1610
MF3,2982,2062
MF1,3079,565
MF3,3214,753
MF3,3214,4420
MF3,3215,281
MF3,3216,57
MF3,3216,849
MF3,3216,1124
MF3,3281,183
MF3,3281,705
MF3,3281,1153
MF3,3281,1290
MF3,3284,183
MF3,3284,1153
MF3,3284,1290
MF3,3355,133
MF3,3355,807
MF3,3355,2162
MF3,3400,898
MF3,3404,774
MF3,3404,1157
MF2,3530,116
MF3,3534,1128
MF3,3534,3824
MF2,3535,97
MF2,3535,1518
MF1,3536,75
MF1,3536,134
MF1,3536,178
MF1,3537,383
MF1,3537,2321
MF2,3540,725
MF2,3540,1491
MF2,3540,2707
MF1,3543,2805
MF2,3546,814
MF2,3546,3824
MF1,3552,1822
MF1,3554,343
MF1,3554,1505
MF1,3554,3980
MF1,3555,698
MF2,3556,837
MF2,3557,725
MF2,3557,1491
MF2,3557,2707
MF2,3558,725
MF2,3558,1493
MF1,3559,1244
MF1,3561,652
MF2,3562,1427
MF2,3563,1573
MF2,3563,3557
MF1,3565,1404
MF2,3566,3558
MF2,3567,1573
MF2,3567,3540
MF2,3568,261
MF2,3568,269
MF3,3571,2006
MF3,3575,283
MF3,3575,285
MF3,3575,312
MF3,3576,333
MF3,3576,335
MF1,3577,89
MF3,3581,824
MF3,3581,2857
MF3,3581,2858
MF3,3581,2859
MF3,3581,3355
MF3,3582,339
MF3,3582,762
MF3,3582,3581
MF2,3591,1632
MF2,3591,2585
MF1,3593,258
MF1,3593,558
MF1,3593,2335
MF1,3593,4788
MF2,3595,3753
MF3,3653,427
MF3,3653,896
MF3,3657,897
MF3,3657,3653
MF1,3664,2231
MF1,3664,2273
MF3,3668,602
MF1,3679,327
MF1,3679,525
MF1,3679,3720
MF1,3680,327
MF1,3680,2340
MF1,3680,3720
MF2,3683,141
MF2,3683,754
MF2,3683,3728
MF3,3684,2076
MF2,3695,667
MF2,3695,1226
MF1,3709,2204
MF2,3710,371
MF2,3710,423
MF2,3710,774
MF1,3718,111
MF1,3718,298
MF1,3718,2378
MF1,3719,2328
MF1,3719,2382
MF1,3719,4136
MF1,3720,2281
MF1,3721,63
MF1,3725,839
MF1,3728,165
MF1,3728,2048
MF1,3729,376
MF1,3729,3536
MF2,3734,756
MF2,3735,1584
MF2,3735,2033
MF2,3737,1473
MF2,3737,1583
MF2,3738,846
MF2,3739,138
MF2,3739,437
MF2,3741,454
MF2,3741,1875
MF1,3746,563
MF1,3747,68
MF1,3747,356
MF1,3748,381
MF1,3748,430
MF1,3752,423
MF1,3752,3747
MF2,3753,2609
MF1,3754,2455
MF1,3756,381
MF1,3756,389
MF1,3756,484
MF1,3762,567
MF1,3762,2381
MF3,3764,1156
MF1,3765,398
MF1,3765,653
MF1,3765,1588
MF2,3766,268
MF2,3766,484
MF3,3767,688
MF3,3767,2036
MF2,3769,43
MF3,3770,1112
MF3,3771,1222
MF3,3811,37
MF3,3811,209
MF3,3811,1254
MF3,3811,1873
MF2,3817,360
MF2,3817,1985
MF1,3821,631
MF3,3822,665
MF3,3822,3725
MF3,3822,3827
MF3,3822,4034
MF2,3823,1517
MF2,3824,3842
MF3,3825,1177
MF3,3825,3846
MF3,3826,340
MF3,3827,387
MF3,3827,1240
MF2,3829,261
MF2,3829,4037
MF2,3830,627
MF2,3830,1882
MF2,3830,3734
MF2,3830,3824
MF2,3832,30
MF2,3832,1587
MF2,3832,1594
MF2,3832,3748
MF3,3833,425
MF3,3833,468
MF3,3838,1088
MF3,3838,1417
MF3,3838,1495
MF3,3838,2982
MF2,3842,450
MF2,3845,634
MF3,3846,281
MF3,3846,363
MF1,3847,135
MF1,3848,381
MF1,3848,1927
MF1,3848,3729
MF2,3849,419
MF2,3849,3824
MF2,3850,654
MF3,3854,271
MF3,3854,831
MF3,3854,998
MF3,3857,1454
MF1,3868,68
MF1,3868,2202
MF1,3868,4196
MF1,3869,68
MF1,3869,236
MF1,3869,2202
MF1,3870,68
MF1,3870,2202
MF1,3870,4197
MF1,3871,3868
MF1,3871,3869
MF1,3871,3870
MF1,3872,236
MF1,3872,2321
MF1,3872,2403
MF1,3873,137
MF1,3873,138
MF2,3943,116
MF2,3943,266
MF2,3943,627
MF2,3943,1428
MF2,3943,1600
MF2,3943,3734
MF2,3943,3741
MF2,3944,87
MF2,3944,1415
MF2,3944,1423
MF2,3944,2082
MF2,3944,3536
MF2,3944,3734
MF2,3958,673
MF1,3968,564
MF1,3979,1378
MF1,3979,1509
MF1,3980,2172
MF1,3980,3906
MF1,3990,2229
MF3,4004,758
MF3,4004,3770
MF3,4005,315
MF3,4005,758
MF3,4005,3811
MF1,4019,421
MF1,4021,38
MF1,4021,66
MF1,4026,742
MF1,4028,239
MF1,4029,384
MF1,4031,4021
MF1,4034,1413
MF1,4034,4031
MF2,4037,204
MF3,4050,1016
MF3,4050,2012
MF3,4050,3400
MF3,4052,983
MF3,4059,870
MF3,4059,1044
MF3,4059,1551
MF1,4104,1511
MF1,4104,4019
MF1,4136,330
MF3,4139,281
MF3,4139,475
MF3,4139,798
MF3,4139,1721
MF1,4196,2360
MF1,4197,2360
MF1,4198,2360
MF1,4204,2376
MF1,4204,2439
MF3,4218,1216
MF1,4236,4026
MF1,4250,829
MF1,4250,2321
MF3,4315,740
MF2,4361,794
MF3,4420,265
MF1,4638,493
MF1,4698,2437
MF3,4858,246
MF1,4951,372
MF1,4951,3577
MF2,5088,275
MF2,5088,2062
MF2,5204,3591
MF1,5572,87
MF1,5572,343
MF2,6092,353
MF2,6092,371
MF2,6092,1414
MF2,6092,5572
MF2,6185,86
MF2,6185,599
MF1,6207,487
MF1,6207,1639
MF1,6219,802
MF1,6219,2220
MF2,6266,393
MF2,6266,425
MF2,6341,84
MF2,6341,408
MF2,6341,410
MF2,6351,818
MF2,6351,1584
MF2,6351,1682
MF1,6642,111
MF1,6642,2454
MF1,6642,3721
MF1,6643,2560
MF1,6643,3754
MF1,6646,40
MF1,6646,2560
MF1,6663,40
MF1,6663,6643
MF1,6666,2281
MF1,6666,3721
MF1,6666,6643
